이름,연도,이닝,ERA,FIP,WHIP,war,연봉
김주한,17  P,69.2,5.94,5.86,1.64,0.07,5700
김세현,17  P,50.0,5.4,3.8,1.6,0.04,16000
최충연,17  P,84.0,7.61,5.77,1.88,0.04,3000
김성배,17  P,44.0,5.32,5.55,1.27,-0.04,15000
김태훈,17  P,41.1,6.53,6.03,1.94,-0.05,2800
홍건희,17  P,59.0,6.41,4.69,1.76,-0.06,9000
김지용,17  P,53.0,5.09,6.16,1.38,-0.19,10000
문광은,17  P,44.2,7.05,4.84,1.59,-0.25,4500
신정락,17  P,59.0,5.34,4.24,1.44,-0.41,7500
임창민,16  P,70.0,2.57,3.39,1.3,2.30,17400
원종현,16  P,70.2,3.18,3.18,0.98,2.17,8000
이정민,16  P,77.0,3.16,4.27,1.35,2.01,6500
홍건희,16  P,90.1,4.98,4.63,1.59,1.99,4500
심창민,16  P,72.2,2.97,3.8,1.17,1.97,14000
김지용,16  P,63.0,3.57,4.8,1.11,1.72,4000
맥그레거,16  P,90.0,5.2,4.89,1.42,1.67,12000
김세현,16  P,62.1,2.6,2.97,1.17,1.60,16000
정재훈,16  P,52.1,3.27,3.49,1.15,1.53,15000
박진형,16  P,93.0,5.81,5.53,1.67,1.52,2800
최영필,16  P,57.1,3.61,3.73,1.43,1.52,13000
박희수,16  P,54.2,3.29,4.85,1.26,1.47,14000
오주원,16  P,51.0,4.41,4.26,1.31,1.22,8800
윤명준,16  P,57.0,3.95,4.66,1.19,1.20,11500
김진성,16  P,84.1,4.48,4.06,1.13,1.16,15000
송창식,16  P,97.2,4.98,5.23,1.45,1.13,16000
김광수,16  P,52.1,5.16,4.76,1.7,1.05,10000
장필준,16  P,72.0,5.13,5.08,1.5,1.04,2800
김재윤,16  P,54.1,4.97,3.11,1.4,1.00,7200
심재민,16  P,54.1,5.47,5.39,1.82,0.97,4700
권오준,16  P,46.1,3.88,5.6,1.27,0.96,7000
로위,16  P,60.0,6.3,4.87,1.88,0.93,17000
임정우,16  P,70.2,3.82,3.76,1.54,0.80,12500
이창재,16  P,40.1,5.13,4.96,1.56,0.66,4400
배우열,16  P,40.1,4.02,4.42,1.61,0.60,3600
김대우,16  P,66.0,5.05,5.41,1.53,0.56,11000
이보근,16  P,64.2,4.45,4.16,1.48,0.54,8400
김건태,16  P,63.1,5.26,6.54,1.58,0.52,3400
박준표,16  P,51.2,6.27,5.25,1.59,0.46,4500
정수민,16  P,48.0,6.19,5.81,1.83,0.45,2700
김기태,16  P,75.0,7.08,7.6,1.55,0.43,4000
허준혁,16  P,89.1,5.64,6.53,1.62,0.43,7500
박근홍,16  P,41.0,7.46,5.52,1.68,0.38,11000
홍성용,16  P,46.1,6.02,6.05,1.83,0.36,7000
홍성민,16  P,42.1,4.46,5.05,1.44,0.26,12000
진야곱,16  P,62.0,4.94,5.57,1.74,0.24,6000
전유수,16  P,54.1,5.13,5.08,1.77,0.10,13000
고효준,16  P,46.0,6.07,4.99,1.8,0.07,8000
이준형,16  P,71.1,6.18,5.81,1.81,0.07,2800
이승현,16  P,41.0,5.49,5.89,1.68,0.06,3700
안규영,16  P,47.2,6.61,6.3,2.03,0.00,3000
진해수,16  P,54.0,4.67,4.91,1.74,-0.10,9500
이성민,16  P,68.2,7.08,6.33,1.91,-0.15,9500
한기주,16  P,56.2,7.62,7.22,1.96,-0.19,6500
윤지웅,16  P,44.0,6.55,4.63,1.5,-0.21,12500
