이름,손잡이,나이,연봉,war
오선진,우,33,7000,0.52
강한울,우,33,10000,1.87
김상수,우,28,30000,-0.15
이원석,우,40,3300,-0.46
이태훈,우,35,3500,-0.07
오재일,좌,35,60000,2.42
김지찬,우,39,11000,3.79
김성윤,좌,31,3800,-0.29
김현준,좌,34,3300,2.53
피렐라,우,22,60000,6.23
박승규,우,24,5700,0.43
강윤구,좌,35,7300,0.04
박세웅,우,34,26000,3.97
구승민,우,21,18100,1.89
김도규,우,29,5700,0.96
반즈,좌,26,46000,5.7
김원중,우,26,28000,0.63
이인복,우,36,8500,3.48
서준원,우,35,8400,1.14
나균안,우,23,5800,2.73
최준용,우,27,10700,1.28
스트레일리,우,41,40000,2.44
강태율,우,33,3300,-0.18
지시완,우,41,6000,0.51
정보근,우,32,3400,-0.19
김민수,우,34,11500,2.53
정훈,우,32,55000,-0.04
이대호,우,32,80000,3.68
안치홍,우,25,100000,2.87
한동희,우,27,17200,2.14
전준우,우,33,50000,1.55
렉스,우,28,31370,2.94
장두성,우,22,3500,-0.08
고승민,우,30,3800,2.05
홍건희,우,21,25000,0.36
김지용,우,28,6000,-0.11
김강률,우,33,22500,-0.33
스탁,우,23,40000,2.68
김명신,우,33,10000,0.93
곽빈,우,29,6500,3.53
이승진,우,22,11000,-0.24
브랜든,좌,28,15000,1.62
최원준,우,31,34000,3.43
최승용,좌,33,3500,0.92
이형범,우,28,8100,-0.02
박세혁,우,34,30000,2.32
안승한,우,25,3700,0.43
장승현,우,32,7800,-0.27
페르난데스,우,27,60000,0.48
서예일,우,32,3300,-0.32
김민혁,우,29,9000,1.2
강승호,우,28,11500,3.56
이유찬,우,31,6000,-0.2
김재호,우,34,50000,0.57
양석환,우,29,39000,1.16
정수빈,좌,27,60000,1.97
조수행,우,38,8500,-0.31
윤호솔,우,26,6350,-0.09
김재영,우,26,5500,-0.5
장시환,우,34,21000,0.24
장민재,우,28,7600,3.03
김범수,좌,26,9680,0.55
김민우,우,39,19100,3.09
정우람,좌,33,80000,0.19
박상원,우,33,13300,0.17
주현상,우,35,5080,-0.67
최재훈,우,29,100000,3.25
허관회,우,27,3370,-0.1
박상언,우,26,3200,-0.21
이도윤,우,27,3400,-0.36
노시환,우,33,12000,2.06
이성곤,우,35,6400,0.2
하주석,우,30,20090,0.96
김인환,우,30,3200,2.42
정은원,우,27,19080,2.8
김종수,우,37,8900,-0.11
장시환,우,31,28000,-0.34
김범수,좌,33,14100,0.5
정우람,좌,28,50000,-0.4
허관회,우,23,3300,-0.43
하주석,우,29,10000,3.17
정은원,우,28,21800,4.46
이성곤,우,36,4800,0.9
장운호,우,29,5000,0.92
최인호,우,23,3800,0.89
임기영,우,33,15000,3.27
이준영,좌,20,14000,-0.01
박준표,우,32,10500,-0.17
한승혁,우,29,6200,-0.14
장현식,우,25,19000,2.43
김현수,우,32,100000,3.91
정해영,우,37,23000,2.56
김민식,우,28,15000,1.66
한승택,우,21,8000,1.25
김선빈,우,20,45000,2.7
김태진,우,33,12000,0.5
류지혁,우,25,15500,2.01
박찬호,우,26,20000,1.87
최정용,우,21,4000,0.04
황대인,우,21,13000,-0.92
이창진,우,28,14000,0.66
최원준,우,22,33000,4.88
최형우,우,29,90000,1.51
김호령,우,35,7000,0.86
김진욱,좌,32,5600,0.0
구승민,우,22,24860,1.38
김원중,우,25,25200,1.86
서준원,우,23,9500,-0.3
김대우,우,31,7000,0.15
최준용,우,22,15800,2.12
스트레일리,우,30,100000,4.37
정성종,우,27,3600,-0.08
안중열,우,21,6000,1.86
지시완,우,26,7600,1.36
김민수,우,20,25000,0.89
전준우,우,29,50000,3.84
정훈,우,21,30000,3.11
안치홍,우,26,50000,2.94
한동희,우,26,19260,2.87
김재유,우,27,4000,0.39
손아섭,우,20,50000,2.73
이용찬,우,23,40000,1.38
임정호,좌,29,9000,0.82
배민서,우,27,5100,0.26
원종현,우,35,50000,0.09
이재학,우,29,20000,1.65
신민혁,우,28,13500,3.51
문경찬,우,33,7200,0.35
김영규,좌,33,14000,0.67
송명기,우,27,13000,1.48
김태군,우,30,20000,1.9
김주원,우,30,9000,1.01
박준영,우,32,6000,0.54
도태훈,우,36,5000,-0.35
윤형준,우,35,4000,-0.18
강진성,우,32,8000,-0.67
최정원,우,23,6600,1.27
나성범,좌,25,80000,3.41
이태양,우,23,66000,0.74
박민호,우,30,9500,0.65
김태훈,좌,28,7800,1.06
이흥련,우,21,7000,0.16
최항,우,31,3100,0.16
김찬형,우,28,5000,0.55
최정,우,33,100000,7.04
김성현,우,23,15000,2.01
최주환,우,33,65000,2.52
오태곤,우,22,10000,0.99
한유섬,우,26,50000,3.88
고종욱,우,24,7000,-0.65
최지훈,우,30,30000,2.84
김태훈,우,23,7800,1.06
최원태,우,33,35000,1.51
김재웅,좌,24,22000,0.76
이승호,좌,30,12800,-0.45
양현,우,37,8500,-0.13
김선기,우,20,7300,-0.11
정찬헌,우,30,10000,2.13
박동원,우,28,30000,3.14
김재현,우,21,6500,-0.25
이지영,우,23,50000,1.18
김웅빈,우,23,6000,2.27
김혜성,우,30,42000,3.83
신준우,우,28,4800,-0.27
김주형,우,35,5500,-0.11
송성문,우,25,12000,1.83
박병호,우,22,70000,1.02
전병우,우,32,8000,0.71
이용규,좌,28,30000,3.98
임찬규,우,29,17000,1.79
켈리,우,32,105000,5.63
최동환,우,34,10500,-0.03
정우영,우,28,40000,2.49
고우석,우,29,43000,2.52
진해수,좌,26,25000,0.82
이민호,우,28,5000,2.13
손주영,좌,22,4100,-0.37
이정용,우,24,24000,1.31
최성훈,좌,25,13000,0.39
김윤식,좌,33,15000,0.22
김대유,좌,23,16000,1.93
유강남,우,26,60000,2.43
오지환,우,21,60000,4.45
서건창,우,22,20000,3.06
이상호,우,22,7000,-0.03
신민재,우,29,4800,-0.08
안익훈,좌,24,5100,-0.41
이형종,우,26,12000,0.62
김현수,우,29,100000,3.91
홍창기,우,22,30000,6.75
이재원,우,22,8500,0.75
우규민,우,21,25000,0.77
홍정우,우,25,6300,0.13
김대우,우,29,7000,0.15
장필준,우,32,8000,-0.48
백정현,좌,32,40000,6.15
원태인,우,39,35000,6.03
이승현,좌,30,8000,-0.16
최채흥,좌,34,15000,2.51
이상민,좌,34,7500,0.15
김도환,우,30,5000,-0.13
강민호,우,33,60000,3.91
강한울,우,21,15000,-0.44
김상수,우,23,50000,0.62
이원석,우,34,20000,1.01
오재일,좌,20,50000,2.88
이학주,우,28,7200,-0.44
김지찬,우,25,16000,1.23
박해민,우,25,60000,4.19
홍건희,우,40,30000,2.39
박소준,우,23,4000,-0.08
김민규,우,32,5500,0.13
김강률,우,40,20000,1.81
윤명준,우,31,6000,0.17
박정수,우,31,4500,-0.17
김명신,우,24,14500,0.13
최원준,우,32,33000,4.88
박세혁,우,27,70000,0.61
장승현,우,29,6000,0.5
박계범,우,22,9700,2.75
김민혁,우,32,15000,1.35
강승호,우,28,20000,2.81
김재호,우,27,50000,0.52
양석환,우,30,40000,2.38
안권수,우,38,8000,0.42
정수빈,좌,32,60000,1.43
박건우,우,33,90000,4.95
김인태,좌,27,10000,3.42
조수행,우,36,7800,1.33
고영표,우,33,43000,5.65
엄상백,우,31,20000,1.34
배제성,우,26,20000,3.55
김민수,우,31,25000,0.89
소형준,우,28,32000,2.1
심재민,좌,27,8300,1.13
주권,우,30,29500,1.22
박시영,우,33,9800,1.05
조현우,좌,26,7600,1.05
김재윤,우,25,36000,2.25
허도환,우,30,10000,0.55
오윤석,우,23,12000,1.87
신본기,우,25,13000,0.61
박경수,우,25,20000,0.48
황재균,우,33,100000,2.93
김병희,우,20,4700,0.66
강백호,우,27,29000,7.26
홍현빈,우,25,4800,-0.09
송민섭,우,32,6500,1.2
조용호,우,38,32000,-0.62
문상철,우,32,5600,0.11
배정대,우,32,34000,3.07
라이트,우,36,80000,3.37
손정욱,좌,32,4600,0.08
홍성민,우,25,10000,1.2
김건태,우,23,9000,0.62
임정호,좌,33,9200,1.4
루친스키,우,30,100000,6.87
임창민,우,39,16000,-0.26
원종현,우,29,26000,0.31
이재학,우,27,27500,0.49
문경찬,우,27,11500,0.4
김영규,좌,20,6300,0.24
김형준,우,22,5000,0.6
김태군,우,25,20000,1.25
지석훈,우,26,12500,0.72
박석민,우,28,70000,3.1
이원재,우,28,7100,0.29
이재율,좌,35,3000,0.33
알테어,우,21,80000,3.22
김성욱,우,28,12000,0.63
이명기,좌,22,24000,2.58
권희동,우,31,13500,2.75
강진성,우,32,3800,1.78
홍건희,우,27,5300,0.37
김강률,우,26,15000,-0.37
장원준,좌,31,30000,-0.18
유희관,좌,28,47000,1.38
플렉센,우,34,60000,3.94
김명신,우,24,5200,0.29
윤명준,우,31,21000,0.41
알칸타라,우,31,45000,8.98
이현승,좌,26,40000,0.56
이영하,우,36,27000,2.39
이승진,우,27,4700,0.35
최원준,우,20,5900,3.46
박세혁,우,29,23200,2.07
장승현,우,32,3500,0.01
정상호,우,24,7000,-1.16
서예일,우,22,3200,0.02
페르난데스,우,25,40000,4.96
허경민,우,20,48000,4.21
이유찬,우,20,3200,0.67
오재일,좌,27,47000,2.75
김재호,우,21,65000,2.14
조수행,우,28,4500,-0.24
정수빈,좌,31,34000,3.35
김재환,우,21,65000,3.58
박건우,우,24,45000,4.21
김인태,좌,22,5000,0.4
이대은,우,22,10000,-0.05
배제성,우,30,11000,3.43
김민수,우,23,6500,-0.22
하준호,좌,21,4500,0.21
전유수,우,36,10000,0.55
쿠에바스,우,30,60000,3.49
주권,우,26,15000,1.91
데스파이네,우,20,45000,4.12
김민,우,25,7500,-0.35
조현우,좌,20,3000,1.8
허도환,우,28,6500,-0.24
장성우,우,20,13500,3.65
심우준,우,25,13000,0.57
박경수,우,29,40000,2.9
강민국,우,25,4000,-0.4
박승욱,우,20,8000,-0.3
문상철,우,22,4000,0.17
조용호,우,22,7000,2.68
로하스,우,21,80000,9.4
강백호,우,28,21000,5.81
김민혁,우,20,9000,-0.03
유한준,우,23,50000,1.09
임찬규,우,26,13500,2.83
켈리,우,34,90000,5.57
정찬헌,우,28,13000,3.07
최동환,우,27,7000,0.95
고우석,우,32,22000,0.4
진해수,좌,29,25000,1.07
최성훈,좌,29,4700,0.73
정우영,우,21,8000,2.03
이성우,우,31,8000,-0.17
유강남,우,35,23000,1.37
박재욱,우,34,3500,-0.28
김용의,우,31,10500,0.47
정주현,우,22,12500,0.6
정근우,우,32,35000,-0.81
오지환,우,29,60000,7.41
김민성,우,21,40000,0.54
구본혁,우,28,4000,-0.25
라모스,우,24,30000,4.81
이천웅,좌,21,28000,0.08
채은성,우,28,32000,1.99
한현희,우,26,29000,2.33
브리검,우,29,80000,3.16
조상우,우,29,20000,2.29
김태훈,우,29,8000,0.23
최원태,우,27,37000,1.49
김상수,우,26,30000,0.17
이승호,좌,33,8500,2.1
조성운,우,20,3000,-0.02
양현,우,27,9000,0.72
안우진,우,30,4800,1.0
요키시,좌,27,55000,6.08
김선기,우,32,4200,0.43
주효상,우,32,4000,-0.21
이지영,우,24,30000,1.28
김혜성,우,25,10000,3.41
김하성,우,21,55000,8.1
김웅빈,우,25,3700,-0.05
김은성,우,23,2900,0.18
서건창,우,27,35000,3.4
러셀,우,29,54000,0.56
전병우,우,22,2900,1.01
박정음,좌,32,4300,-0.18
박준태,우,30,4500,2.16
허정협,우,23,3500,1.01
김규민,좌,29,5400,-0.4
이정후,우,33,39000,7.24
김기훈,좌,29,3500,0.42
홍상삼,우,28,4000,1.03
박준표,우,27,11000,2.55
장현식,우,24,11000,-1.06
가뇽,우,25,65000,4.68
양승철,우,27,3000,-0.17
전상현,우,22,7600,1.72
고영창,우,29,5800,-0.31
백용환,우,23,4000,0.31
김민식,우,24,8800,0.91
한승택,우,21,8000,1.1
최원준,우,25,5900,3.46
김선빈,우,25,45000,2.43
김태진,우,30,9000,-1.32
최정민,우,28,3500,-0.16
박찬호,우,31,10500,-0.77
유민상,우,33,6000,-0.25
이진영,우,27,3400,0.07
터커,좌,28,55000,3.46
나지완,우,25,60000,2.01
이우성,우,21,4000,-0.23
김호령,우,28,8500,0.32
오현택,우,23,6000,0.76
구승민,우,24,8000,1.22
고효준,좌,32,10000,0.06
