이름,연도,이닝,ERA,FIP,WHIP,war,연봉
배제성,21  P,141.2,3.68,3.69,1.47,3.55,17000
신민혁,21  P,145.0,4.41,4.36,1.37,3.51,4000
멩덴,21  P,120.0,3.6,3.9,1.2,3.48,42500
임기영,21  P,153.0,4.88,3.96,1.31,3.27,10000
카펜터,21  P,170.0,3.97,3.91,1.31,2.79,30000
안우진,21  P,107.2,3.26,4.0,1.2,2.73,9000
정해영,21  P,65.1,2.2,4.27,1.18,2.56,7000
오승환,21  P,62.0,2.03,2.79,1.16,2.54,110000
쿠에바스,21  P,133.1,4.12,3.44,1.37,2.52,50000
고우석,21  P,58.0,2.17,2.63,1.21,2.52,18000
최채흥,21  P,122.1,4.56,4.61,1.47,2.51,16000
정우영,21  P,65.0,2.22,3.76,1.06,2.49,18000
장현식,21  P,76.2,3.29,4.06,1.42,2.43,10500
홍건희,21  P,74.1,2.78,2.62,1.24,2.39,11000
브룩스,21  P,78.0,3.35,3.29,1.4,2.31,100000
김재윤,21  P,67.0,2.42,3.24,1.21,2.25,17000
이민호,21  P,115.0,4.3,4.53,1.17,2.13,7000
정찬헌,21  P,114.1,4.01,4.0,1.4,2.13,20000
최준용,21  P,47.1,2.85,3.95,1.2,2.12,4200
프랑코,21  P,150.0,5.4,5.25,1.48,2.10,24500
소형준,21  P,119.0,4.16,4.01,1.46,2.10,14000
박종훈,21  P,54.1,2.82,3.69,1.05,2.09,32000
김대유,21  P,50.2,2.13,2.94,0.93,1.93,4000
한현희,21  P,85.2,3.89,3.85,1.35,1.93,29000
김원중,21  P,62.2,3.59,3.79,1.24,1.86,17000
김강률,21  P,51.2,2.09,3.68,1.53,1.81,11000
강재민,21  P,63.1,2.13,3.39,1.22,1.79,7900
